geohash,logradouro,numero,cep
6gkzqgd3ugb,Rua Barão do Serro Azul,469,80020-180
6gkzqgd6m5e,Rua Barão do Serro Azul,479,80020-180
6gkzqgd6vxh,Rua Barão do Serro Azul,201,80020-180
6gkzqgdh2xk,Rua Inácio Lustosa,161,80510-000
6gkzqgdhmb4,Rua Inácio Lustosa,119,80510-000
6gkzqgdk1h0,Rua Inácio Lustosa,113,80510-000
6gkzqgdkn84,Rua Barão do Serro Azul,525,80020-180
6gkzqgdp3gg,Avenida Cândido de Abreu,127,80530-060
6gkzqgf2ypj,Avenida Cândido de Abreu,127,80530-060
6gkzqgjb27c,Rua 13 de Maio,18,80020-310
6gkzqgp80e9,Rua XV de Novembro,1125,80060-000
6gkzqgsu0fb,Rua Luiz Leão,1,80030-010
6gkzqgv0d8z,Avenida João Gualberto,250,80030-080
6gkzqgv7cww,Avenida João Gualberto,250,80030-080
6gkzqgxgvz6,Rua General Carneiro,164,80060-150
6gkzqk5u0ss,Rua Professora Rosa Saporski,253,80810-120
6gkzqk6k3yz,Rua Alcides Munhoz,620,80810-040
6gkzqk77v3w,Rua Jacarezinho,1112,80810-130
6gkzqke18y2,Rua Jacarezinho,1119,80810-130
6gkzqkh2zjp,Avenida Manoel Ribas,1154,80810-000
6gkzqkhbvu6,Avenida Manoel Ribas,966,80410-000
6gkzqkj1vp1,Avenida Manoel Ribas,966,80410-000
6gkzqkmrwfk,domingos benatto,30,82320-590
6gkzqkpfpgg,Avenida Manoel Ribas,596,80510-020
6gkzqm43b3f,Rua Solimões,1640,80810-070
6gkzqm72qwd,Rua Jacarezinho,1691,80810-900
6gkzqmks7x9,Rua Doutor Roberto Barosso,2075,80810-090
6gkzqsnj45m,Rua Quari,141,80520-010
6gkzqsr3g20,Praça do Redentor,233,80520-010
6gkzqsvt1nv,Rua Desembargador Hugo Simas,26,80520-250
6gkzqtekg6x,Rua Tapajós,1047,80520-260
6gkzqu0zjw9,Rua Senador Xavier da Silva,214,80530-060
6gkzqu102j0,Rua Barão de Antonina,186,80530-050
6gkzqu10rbm,Rua Barão de Antonina,254,80530-050
6gkzqu4rx6x,Avenida Candido de Abreu,367,81450-360
6gkzqu6zr7s,Avenida Cândido de Abreu,501,80530-000
6gkzqu79epb,Avenida Cândido de Abreu,468,80530-000
6gkzqu7u24v,Avenida Cândido de Abreu,470,80530-000
6gkzqugxceu,Avenida Cândido de Abreu,817,80530-908
6gkzquk0yrf,Rua da Glória,251,80530-000
6gkzquk17v0,Rua Heitor Stockler de França,396,80530-000
6gkzquk53q2,Rua Heitor Stockler de França,470,80530-000
6gkzquk70jf,Rua da Glória,251,80530-000
6gkzquqxzbr,Avenida João Gualberto,802 D,80030-150
6gkzqusj3cc,Rua Comendador Fontana,57,80030-070
6gkzqusnhkj,Rua Comendador Fontana,57,80030-070
6gkzqv2rjtg,Rua Nilo Peçanha,732,80520-176
6gkzqv42w9q,Rua Euclides Bandeira,478,80530-020
6gkzqv61h3w,Rua Coronel Agostinho Macedo,53,80520-100
6gkzqv896nr,Rua Nilo Peçanha,732,80520-176
6gkzqv8gr5f,Rua Mateus Leme,1561,80520-174
6gkzqvbwnvh,Rua Carlos Pioli,133,80520-170
6gkzqxwtw5m,Rua Nilo Peçanha,2225,80220-000
6gkzqz98x6g,Rua Mateus Leme,2746,82200-000
6gkzqzg0wdp,Rua Brasilino Moura,253,80540-340
6gkzqzmf274,Rua Eurípedes Garcez do Nascimento,921,80540-280
6gkzr0054s1,Rua Rockefeller,651,80230-130
6gkzr042bqh,Rua João Negrão,1807,80230-150
6gkzr0bc7nm,Rua João Negrão,1285,80002-900
6gkzr0vh23u,Rua Engenheiro Rebouças,1100,81210-040
6gkzr10tf36,Avenida Silva Jardim,57,80230-000
6gkzr12ztkt,Avenida Sete de Setembro,2331,80060-070
6gkzr1brven,Rua Tibagi,751,80060-110
6gkzr1dw047,Avenida Sete de Setembro,2077,80060-070
6gkzr1wrx64,Rua Atilio Borio,71,80050-250
6gkzr1ww2rp,Rua Atílio Bório,51,80050-250
6gkzr1wzm1t,Rua Atilio Borio,80,80050-250
6gkzr1xs0vd,Avenida Presidente Affonso Camargo,849,80050-370
6gkzr22dxmt,Avenida Comendador Franco,637,80215-090
6gkzr23vfdu,Rua Ernesto de Araújo,69,80215-090
6gkzr321bsh,Rua Engenheiro Leão Sounis,320,80210-020
6gkzr3476tg,Rua Hildebrando de Araújo,281,80210-260
6gkzr3h7zzk,Rua Brasílio Itiberê,73,80210-060
6gkzr3hvmu9,Rua Brasílio Itiberê,57,80210-060
6gkzr3mue7e,Rua Poeta Francisco Ferreira Leite,10,80050-360
6gkzr3my66q,Rua Poeta Francisco Ferreira Leite,20,80050-360
6gkzr3mzcpp,Rua Poeta Francisco Ferreira Leite,30,80050-360
6gkzr3q7umr,Avenida Presidente Affonso Camargo,1735,80050-370
6gkzr3rpzrb,Rua Sanito Rocha,207,80050-380
6gkzr3tc839,Rua Poeta Francisco Ferreira Leite,40,80050-360
6gkzr3teqb9,Avenida São José,600,80050-360
6gkzr3wj86v,Avenida São José,631,80050-350
6gkzr3x1tuf,Rua Sanito Rocha,225,80050-380
6gkzr3x57wn,Rua Sanito Rocha,261,80050-380
6gkzr3xf2y5,Rua Sanito Rocha,194,80050-380
6gkzr4850wh,Avenida Mariano Torres,531,80060-130
6gkzr4b71sy,Rua Francisco Torres,107,80060-130
6gkzr4fj74f,Rua Benjamin Constant,531,80060-020
6gkzr50grz7,Rua XV de Novembro,1348,80060-000
6gkzr514c27,Rua XV de Novembro,1348,80060-000
6gkzr51rps2,Rua XV de Novembro,1441,80060-000
6gkzr51v3z1,Rua XV de Novembro,1464,80060-000
6gkzr5222gd,Rua Amintas de Barros,383,80060-205
6gkzr52tceb,Rua Conselheiro Araújo,267,80060-230
6gkzr5d5vt7,Avenida Ubaldino do Amaral,401,80060-195
6gkzr6dg6z9,Rua Camões,120,80045-260
